date, holiday
26-Jan-2010, Republic Day
12-Feb-2010, Mahashivratri
01-Mar-2010, Holi
16-Mar-2010, Gudi Padwa
24-Mar-2010, Ram Navmi
02-Apr-2010, Good Friday
14-Apr-2010, Dr. Ambedkar Jayanti
27-May-2010, Buddha Pournima
15-Aug-2010, Independence Day
10-Sep-2010, Ramzan Id
05-Nov-2010, Laxmi Puja
17-Nov-2010, Bakri Id
17-Dec-2010, Moharum
26-Jan-2011, Republic Day
02-Mar-2011, Mahashivratri
12-Apr-2011, Ram Navmi
14-Apr-2011, Dr. Babasaheb Ambedkar Jayanti
22-Apr-2011, Good Friday
15-Aug-2011, Independence Day
31-Aug-2011, Ramzan ID
01-Sep-2011, Ganesh Chaturthi
06-Oct-2011, Dussera
26-Oct-2011, Diwali (Laxmi Pujan)*
27-Oct-2011, Diwali (Balipratipada)
07-Nov-2011, Bakri Id
10-Nov-2011, Gurunanak Jayanti
06-Dec-2011, Moharram
26-Jan-2012, Republic Day
20-Feb-2012, Mahashivratri
08-Mar-2012, Holi
05-Apr-2012, Mahavir Jayanti
06-Apr-2012, Good Friday
01-May-2012, May Day
15-Aug-2012, Independence Day
20-Aug-2012, Ramzan Id
19-Sep-2012, Ganesh Chaturthi
02-Oct-2012, Gandhi Jayanti
24-Oct-2012, Dasara
14-Nov-2012, Diwali-Balipratipada
28-Nov-2012, Gurunanak Jayanti
25-Dec-2012, Christmas
27-Mar-2013, Holi
29-Mar-2013, Good Friday
19-Apr-2013, Ram Navmi
24-Apr-2013, Mahavir Jayanti
01-May-2013, May Day
09-Aug-2013, Ramzan ID
15-Aug-2013, Independence Day
09-Sep-2013, Ganesh Chaturthi
02-Oct-2013, Gandhi Jayanti
16-Oct-2013, Bakri ID
04-Nov-2013, Diwali-Balipratipada
15-Nov-2013, Moharram
25-Dec-2013, Christmas
27-Feb-2014, Mahashivratri
17-Mar-2014, Holi
08-Apr-2014, Ram Navmi
14-Apr-2014, Dr. Babasaheb Ambedkar Jayanti
18-Apr-2014, Good Friday
24-Apr-2014, Parlimentary Elections
01-May-2014, May Day
29-Jul-2014, Ramzan ID
15-Aug-2014, Independence Day
29-Aug-2014, Ganesh Chaturthi
02-Oct-2014, Mahatma Gandhi Jayanti
03-Oct-2014, Dasera
06-Oct-2014, Bakri ID
15-Oct-2014, General Assembly Elections
24-Oct-2014, Diwali-Balipratipada
04-Nov-2014, Moharram
06-Nov-2014, Gurunank Jayanti
25-Dec-2014, Christmas
26-Jan-2015, Republic Day
17-Feb-2015, Mahashivratri
06-Mar-2015, Holi
02-Apr-2015, Mahavir Jayanti
03-Apr-2015, Good Friday
14-Apr-2015, Dr. Baba Saheb Ambedkar Jayanti
01-May-2015, Maharashtra Day
17-Sep-2015, Ganesh Chaturthi
25-Sep-2015, Bakri ID
02-Oct-2015, Mahatma Gandhi Jayanti
22-Oct-2015, Dussehra
12-Nov-2015, Diwali-Balipratipada
25-Nov-2015, Gurunanak Jayanti
25-Dec-2015, Christmas
26-Jan-2016, Republic Day
07-Mar-2016, Mahashivratri
24-Mar-2016, Holi
25-Mar-2016, Good Friday
14-Apr-2016, Dr. Baba Saheb Ambedkar Jayanti
15-Apr-2016, Ram Navami
19-Apr-2016, Mahavir Jayanti
06-Jul-2016, Id-uI-Fitar (Ramzan ID)
15-Aug-2016, Independence Day
05-Sep-2016, Ganesh Chaturthi
13-Sep-2016, Bakri ID
11-Oct-2016, Dasera
12-Oct-2016, Moharram
31-Oct-2016, Diwali-Balipratipada
14-Nov-2016, Gurunanak Jayanti
26-Jan-2017, Republic Day
24-Feb-2017, Mahashivratri
13-Mar-2017, Holi
04-Apr-2017, Ram Navami
14-Apr-2017, Dr.Baba Saheb Ambedkar Jayanti/ Good Friday
01-May-2017, Maharashtra Day
26-Jun-2017, Id-Ul-Fitr (Ramzan ID)
15-Aug-2017, Independence Day
25-Aug-2017, Ganesh Chaturthi
02-Oct-2017, Mahatama Gandhi Jayanti
20-Oct-2017, Diwali-Balipratipada
25-Dec-2017, Christmas
26-Jan-2018, Republic Day
13-Feb-2018, Mahashivratri
02-Mar-2018, Holi
29-Mar-2018, Mahavir Jayanti
30-Mar-2018, Good Friday
01-May-2018, Maharashtra Day
15-Aug-2018, Independence Day
22-Aug-2018, Bakri ID
13-Sep-2018, Ganesh Chaturthi
20-Sep-2018, Moharram
02-Oct-2018, Mahatama Gandhi Jayanti
18-Oct-2018, Dasera
08-Nov-2018, Diwali-Balipratipada
23-Nov-2018, Gurunanak Jayanti
25-Dec-2018, Christmas
04-Mar-2019, Mahashivratri
21-Mar-2019, Holi
17-Apr-2019, Mahavir Jayanti
19-Apr-2019, Good Friday
29-Apr-2019, Parliamentary Elections
01-May-2019, Maharashtra Day
05-Jun-2019, Id-Ul-Fitr (Ramzan ID)
12-Aug-2019, Bakri Id
15-Aug-2019, Independence Day
02-Sep-2019, Ganesh Chaturthi
10-Sep-2019, Moharram
02-Oct-2019, Mahatma Gandhi Jayanti
08-Oct-2019, Dasera
21-Oct-2019, General Assembly Elections in Maharashtra
28-Oct-2019, Diwali-Balipratipada
12-Nov-2019, Gurunanak Jayanti
25-Dec-2019, Christmas